id,event_id,latitude,longitude,utc_offset,source,type,date_time,event_name,fccs_number,fuelbed_fractions,heat,pm2.5,pm10,co,co2,ch4,nh3,so2,voc,nox,consumption_total,consumption_flaming,consumption_smoldering,consumption_residual,area,elevation,slope,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,canopy_consumption_pct,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,state,county,country
SF11C48311411812875810,SF11E328891,40.436,-104.966,-6.0,,WF,20190530,,,,95996767.631281,0.914965,1.079659,11.029073,103.9666,0.529739,0.180095,0.068394,2.588869,0.103105,255.12018736138478,26.28048603488,43.509050544321305,,156.4473588,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,19.0,5.0,8.0,CO,,
SF11C48311511812875810,SF11E326974,35.964,-80.464,-4.0,,WF,20190530,,,,1027287371.6720499,3.103263,3.661851,30.606359,703.221594,1.628361,0.514255,0.417747,7.392416,1.031579,491.4782719404086,426.27241198540224,,,108.2099174,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,20.0,5.0,8.0,NC,,
SF11C48311611812875810,SF11E328870,46.046,-97.377,-5.0,,WF,20190530,,,,8235665.854157999,0.077031,0.090896,0.759726,17.45572,0.04042,0.012765,0.01037,0.183498,0.025606,16.815817203483576,10.581144172189825,,,13.97628035,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,20.0,5.0,8.0,ND,,
SF11C48311711812875810,SF11E328869,46.865,-97.505,-5.0,,WF,20190530,,,,4127569.8861479997,0.056983,0.06724,0.619135,9.967174,0.031315,0.010254,0.00611,0.147404,0.013213,14.017072472216572,4.994891331579049,1.2397816997147044,,13.97628035,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,20.0,5.0,8.0,ND,,
SF11C48311811812875810,SF11E328112,47.183,-97.361,-5.0,,WF,20190530,,,,988316.526653,0.029934,0.035323,0.33091,4.944005,0.01659,0.005467,0.003055,0.078591,0.006373,7.264641021430372,2.3431573350861896,0.7741791805606867,,6.988140175,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,20.0,5.0,8.0,ND,,
SF11C48311911812875580,SF11E328398,56.341,-114.41,-7.0,,WF,20190531,,,,38752683331.49366,56.464179,66.627731,589.05264,11136.850148,30.424435,9.81369,6.722223,141.071797,15.544403,13907.46811381423,6161.41375633462,697.9972230121181,,627.524115,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C48312011812875580,SF11E328398,56.375,-114.39,-7.0,,WF,20190531,,,,4679821664.200413,14.747103,17.401581,149.343553,3140.829221,7.834673,2.49916,1.878696,35.925429,4.511332,3780.922294088353,1832.4487361141335,84.58847590587347,,166.284624,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C48312111812875580,SF11E328935,48.337,-98.858,-5.0,,WF,20190531,,,,2856811.3653510003,0.079024,0.093248,0.945132,9.36239,0.045569,0.015449,0.00611,0.222079,0.00965,20.969325221063222,2.6380771859590992,3.596595859310934,,13.97628035,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,20.0,5.0,8.0,ND,,
SF11C48312211812875580,SF11E328937,46.371,-97.542,-5.0,,WF,20190531,,,,35917945.803699,0.335957,0.39643,3.313425,76.130333,0.176285,0.055673,0.045225,0.800298,0.111678,52.382662943426126,46.147989912132374,,,13.97628035,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,20.0,5.0,8.0,ND,,
SF11C48312311812875580,SF11E328936,43.301,-79.945,-5.0,,WF,20190531,,,,296175617.220279,0.920099,1.085717,9.074601,208.500964,0.482799,0.152474,0.123859,2.191807,0.305857,162.4977798161462,126.38716209721355,,,80.94925176,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,5.0,20.0,5.0,8.0,ON,,
SF11C48312411812875580,SF11E328398,55.659,-114.422,-7.0,,WF,20190531,,,,11301714374.513025,28.397134,33.508619,304.731157,5163.64315,15.511136,5.055989,3.149024,72.679847,6.967069,7164.579528565754,2678.175939801051,535.1138714907208,,381.382445,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C48312511812875580,SF11E328398,55.696,-114.172,-7.0,,WF,20190531,,,,73741432065.61215,116.138886,137.043885,1295.744143,18568.888146,64.661713,21.380247,11.528009,307.341053,23.535622,29060.803226481432,8501.699313087793,3261.574678034775,,1662.226006,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C48312611812875580,SF11E317850,57.07,-118.155,-7.0,,WF,20190531,,,,5314763350.804911,17.612673,20.782954,180.79591,3625.716307,9.417282,3.019328,2.177296,43.402841,5.144019,4352.507044757456,2067.915175003825,153.8149260783316,,166.284624,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,22.0,5.0,8.0,AB,,
SF11C48312711812875580,SF11E328398,55.737,-114.08,-7.0,,WF,20190531,,,,6526091010.196074,19.85983,23.434599,215.350266,3496.10762,10.903158,3.567672,2.141292,51.285291,4.648558,4784.425060934422,1762.2917261703813,422.69987580112587,,318.8301889,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C48312811812875580,SF11E328398,55.606,-114.346,-7.0,,WF,20190531,,,,2169914765.259622,7.400337,8.732397,81.858678,1219.589527,4.102755,1.352321,0.753841,19.43962,1.570449,1703.0515329538384,576.7137624105732,192.51197228284516,,315.8253875,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C48312911812875580,SF11E328398,55.755,-114.17,-7.0,,WF,20190531,,,,2590689753.856407,11.346647,13.389043,123.528546,1972.137558,6.241528,2.045315,1.209984,29.4014,2.606653,2856.5414887827374,982.5173238068325,252.15965682739244,,152.0414699,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,21.0,5.0,8.0,AB,,
SF11C48313011812875580,SF11E316757,58.23,-117.62,-7.0,,WF,20190531,,,,593047658.299818,5.225647,6.166263,62.12612,638.342025,3.004109,1.016306,0.414228,14.609398,0.675523,1348.658187238933,192.94197151420633,229.73964130952675,,74.74196459,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,22.0,5.0,8.0,AB,,
SF11C48313111812875580,SF11E316757,58.06,-117.554,-7.0,,WF,20190531,,,,5039447450.416158,19.779086,23.339322,216.486169,3378.195017,10.90862,3.58173,2.077638,51.487367,4.427976,4978.420840136012,1655.410354705121,464.62833439535825,,229.3409752,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,22.0,5.0,8.0,AB,,
SF11C48313211812875580,SF11E316757,58.17,-117.25,-7.0,,WF,20190531,,,,1823761019.7480516,7.44718,8.787673,78.821881,1410.582108,4.040727,1.310401,0.855726,18.837017,1.936835,1833.886451058497,756.5993049535579,116.59079557893271,,77.29950528,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,22.0,5.0,8.0,AB,,
SF11C48313311812875580,SF11E316757,58.23,-117.2,-7.0,,WF,20190531,,,,1832336419.931034,7.445428,8.785605,78.715672,1414.769257,4.037606,1.308848,0.857919,18.814691,1.945168,1830.3209598186868,760.7668065183772,114.66120845626934,,77.29950528,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,22.0,5.0,8.0,AB,,
SF11C48313411812875580,SF11E316757,58.65,-117.645,-7.0,,WF,20190531,,,,9297693961.989023,26.351666,31.094966,270.348702,5432.64405,14.086106,4.515262,3.261822,64.906897,7.711788,6158.281416764456,3101.5941085407476,226.7953143623869,,243.5841293,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,22.0,5.0,8.0,AB,,
SF11C48313511812875580,SF11E316757,58.11,-117.48,-7.0,,WF,20190531,,,,593445698.646834,5.257579,6.203943,62.539202,640.518252,3.023294,1.022991,0.415845,14.705499,0.676297,1359.8776395644159,192.46273209135435,231.86929049050312,,74.74196459,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,22.0,5.0,8.0,AB,,
SF11C48313611812875580,SF11E316757,58.255,-117.24,-7.0,,WF,20190531,,,,1261008385.074343,10.428861,12.306056,123.993176,1273.550457,5.99551,2.028357,0.826469,29.157638,1.347381,2692.198437797224,384.67750597284174,458.6585498373242,,149.4839292,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,22.0,5.0,8.0,AB,,
SF11C48313711812875580,SF11E316757,58.18,-117.5,-7.0,,WF,20190531,,,,592811615.1658831,5.243021,6.186765,62.355582,639.283672,3.014664,1.02001,0.41498,14.662646,0.675473,1355.1731378501884,192.44806196277054,231.0004079021738,,74.74196459,,10.0,7.0,8.0,9.0,12.0,80.0,40.0,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4.0,14.0,4.0,22.0,5.0,8.0,AB,,
